site,watershed,date,latitude,longitude,ph_sonde,ph_lab,temp_deg_c_sonde,temp_lab_deg_c,spc_u_scm_sonde,conductivity_lab_u_scm,alkalinity_mg_ca_co3l,aluminum_dis_ug_l,aluminum_org_ug_l,ali_ug_l,antimony_dis_ug_l,arsenic_dis_ug_l,barium_dis_ug_l,bromide_ug_l,cadmium_dis_ug_l,calcium_dis_mg_l,cerium_dis_ug_l,chloride_mg_l,chromium_dis_ug_l,cobalt_dis_ug_l,copper_dis_ug_l,fluoride_ug_l,hardness_mg_ca_co3l,iron_dis_ug_l,lead_dis_ug_l,lithium_dis_ug_l,magnesium_dis_mg_l,manganese_dis_ug_l,nickel_dis_ug_l,nitrate_ug_l,nitrite_ug_l,phosphate_ug_l,phosphorus_dis_ug_l,potassium_dis_mg_l,selenium_dis_ug_l,silver_dis_ug_l,sodium_dis_mg_l,sulfate_mg_l,tds_mg_l,titanium_dis_ug_l,uranium_dis_ug_l,vanadium_dis_ug_l,zinc_dis_ug_l,avg_dic_mg_l,avg_doc_mg_l,avg_turbidity_ntu,avg_colour_colour_units,cens_ph_sonde,cens_ph_lab,cens_temp_deg_c_sonde,cens_temp_lab_deg_c,cens_spc_u_scm_sonde,cens_conductivity_lab_u_scm,cens_alkalinity_mg_ca_co3l,cens_aluminum_dis_ug_l,cens_aluminum_org_ug_l,cens_ali_ug_l,cens_antimony_dis_ug_l,cens_arsenic_dis_ug_l,cens_barium_dis_ug_l,cens_bromide_ug_l,cens_cadmium_dis_ug_l,cens_calcium_dis_mg_l,cens_cerium_dis_ug_l,cens_chloride_mg_l,cens_chromium_dis_ug_l,cens_cobalt_dis_ug_l,cens_copper_dis_ug_l,cens_fluoride_ug_l,cens_hardness_mg_ca_co3l,cens_iron_dis_ug_l,cens_lead_dis_ug_l,cens_lithium_dis_ug_l,cens_magnesium_dis_mg_l,cens_manganese_dis_ug_l,cens_nickel_dis_ug_l,cens_nitrate_ug_l,cens_nitrite_ug_l,cens_phosphate_ug_l,cens_phosphorus_dis_ug_l,cens_potassium_dis_mg_l,cens_selenium_dis_ug_l,cens_silver_dis_ug_l,cens_sodium_dis_mg_l,cens_sulfate_mg_l,cens_tds_mg_l,cens_titanium_dis_ug_l,cens_uranium_dis_ug_l,cens_vanadium_dis_ug_l,cens_zinc_dis_ug_l,cens_avg_dic_mg_l,cens_avg_doc_mg_l,cens_avg_turbidity_ntu,cens_avg_colour_colour_units,yday
11MO,Moser,2021-04-06,45.027314,-62.276714,4.07,5.1918,5.8,18.1,20.7,23.5,2.07,133.116,128.168,4.9480000000000075,2,0.4,5.083,9,0.4,0.769,0.4,3.1525,0.4,0.4,0.952,11.3294,3.060879,126.073,0.4,0.4,0.277,25.282,0.4,32.5164,9,10,10,0.169,1,0.4,4.423,1.2112,15.66651,0.842,0.4,0.4,3.302,NA,5.847,0.9955,55,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,none,none,none,none,left,left,none,none,left,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.26301369863013696
11MO,Moser,2021-04-22,45.027314,-62.276714,4.94,5.9873,9.1,15.3,23.8,25.7,3.502,168.5738134,148.6961159,19.87769750000001,2,0.4,5.850953579,9,0.4,1.270873265,0.4,3.4969,0.4,0.4,1.107425137,18.4322,4.969832263,204.7839138,0.4,0.4,0.436246168,23.41532314,0.4,16.9427,9,10,10.78732641,0.249200298,1,0.4,5.118082954,1.2919,17.1,1.069323789,0.4,0.4,5.479256977,NA,6.085,0.92,342,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,none,none,none,none,left,left,none,none,left,none,left,left,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.30684931506849317
11PT,Petite Riviere,2021-04-27,44.33169,-64.63566,4.59,5.8563,9.8,15.9,31.1,36.5,3.465,170.6105167,138.1585226,32.45199410000001,2,0.512591661,2.454170525,9,0.4,1.284342627,0.603690454,5.6115,0.4,0.433512595,3.15410664,24.6847,5.47555883,380.2774104,0.4,1.036689212,0.550887637,40.14375294,1.323105903,11.6547,9,10,10.83444803,0.618808722,1,0.4,5.615497677,1.9758,24.3,0.738632977,0.4,0.4,14.94798139,NA,5.965,1.11,75,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,none,none,left,none,none,none,none,none,left,none,none,none,none,none,left,left,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.32054794520547947
11PT,Petite Riviere,2021-05-18,44.33169,-64.63566,4.99,4.0106,17.1,15.2,33.7,38.5,2.956,168.459208,167.8484446,0.6107633999999962,2,0.528586284,2.188458845,9,0.4,1.254202277,0.660386364,5.9413,0.4,0.4,1.398795475,26.102,5.066034367,365.8798808,0.4,1.484008225,0.469716193,32.7973274,0.998292904,28.9787,9,208.6055,11.17393999,0.309171343,1,0.4,4.226236222,1.9693,25.66641,0.670852975,0.4,0.4,5.88783849,NA,6.8715,0.8185,88.5,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,none,none,left,left,none,none,none,none,left,none,none,none,none,none,left,none,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.3780821917808219
12MO,Moser,2021-04-06,45.11054,-62.3795,3.56,2.6653,5.7,17.3,19.8,21.8,0.907,178.905,153.908,24.997000000000014,2,0.4,1.74,9,0.4,0.52,0.405,1.7669,0.4,0.4,1.521,14.7585,2.10145,331.999,0.4,0.638,0.195,25.363,0.4,21.9242,9,10,10,0.205,1.119,0.4,3.207,0.6961,14.533188,1.732,0.4,0.4,4.64,NA,9.764,1.425,119.5,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,none,none,left,left,none,none,none,none,left,none,none,none,left,none,left,left,left,none,none,left,none,none,none,none,left,left,none,none,none,none,none,0.26301369863013696
12MO,Moser,2021-04-22,45.11054,-62.3795,4.4,5.0292,10.3,14,20.6,22.2,1.682,235.1133392,200.6085905,34.50474870000002,2,0.4,2.204274428,9,0.4,0.709925117,0.50914487,2.1707,0.4,0.4,1.047571536,12.6921,2.925605087,413.0082463,0.410195473,0.4,0.279971362,39.85747307,0.4,67.9319,9,10.3552,10.51233238,0.199519163,1,0.4,3.971577422,0.8056,14.8,2.123845755,0.4,0.4,6.709055778,NA,9.6555,1.01,132.5,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,none,none,left,left,none,none,none,none,none,left,none,none,left,none,left,none,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.30684931506849317
12MO,Moser,2021-05-13,45.11054,-62.3795,3.88,4.9353,9.8,16.9,0,24.1,1.543,243.7863325,241.6075405,2.178791999999987,2,0.4,2.392159259,9,0.4,0.798205176,0.546315678,2.4096,0.4,0.4,0.7,18.6243,3.205789932,454.7323602,1.218889872,0.792433425,0.294480721,33.68696389,0.4,52.0829,9,10,10,0.183881905,1,0.4,2.416708622,0.6801,16.066506,2.073478015,0.4,0.4,5.174929199,NA,10.83,0.6265,169.5,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,none,none,left,left,left,none,none,none,none,none,none,none,left,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.3643835616438356
12PT,Petite Riviere,2021-04-08,44.314531,-64.657655,4.68,5.499,9.6,15.6,32.1,36.2,2.65,114.912,101.072,13.840000000000003,2,0.4,2.709,9,0.4,1.039,0.4,5.4996,0.4,0.4,0.745,14.2024,5.225785,260.275,0.4,0.886,0.639,34.157,0.63,19.3853,9,11.5639,10,0.418,1,0.4,3.813,2.4869,24.13092,0.801,0.4,0.4,5.432,NA,5.7905,0.8905,61.5,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,none,none,none,none,left,none,none,none,none,none,left,none,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.2684931506849315
12PT,Petite Riviere,2021-04-27,44.314531,-64.657655,4.51,NA,9.8,NA,32.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,0.32054794520547947
12PT,Petite Riviere,2021-05-18,44.314531,-64.657655,4.99,5.7697,15.6,15.2,34,37.5,3.745,167.2149785,144.4725567,22.74242179999999,2,0.670736763,2.594247504,14.2442,0.4,1.164121504,0.609948133,5.0494,0.4,0.4,0.7,22.0304,5.952578433,770.6865264,0.4,1.158540215,0.739622885,80.12348933,0.807030123,45.7399,9,169.6,11.2137529,0.435933336,1,0.4,3.816757781,1.6878,24.99975,1.77236544,0.4,0.4,5.793593606,NA,8.7625,1.085,106,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,left,left,left,none,none,none,left,none,none,none,none,none,left,none,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.3780821917808219
12WR,WRSH,2021-04-06,44.941364,-62.557373,4.31,4.9129,5.8,16.6,23.4,26.3,1.743,209.069,205.574,3.494999999999976,2,0.4,2.759,9,0.4,0.855,0.582,3.0507,0.4,0.4,1.054,34.3729,3.345627,227.7,0.4,0.4,0.294,25.992,0.4,10.3529,9,10,10,0.361,1.221,0.4,4.346,1.1066,17.533158,1.882,0.4,0.4,5.479,NA,9.4915,0.743,107,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,none,none,left,left,none,none,none,none,left,left,none,none,left,none,left,left,left,none,none,left,none,none,none,none,left,left,none,none,none,none,none,0.26301369863013696
