parameter,detection_limit
Alkalinity_mgCaCO3L,-2.3582
AluminumDis_ugL,4
AluminumOrg_ugL,4
Ali_ugL,5.656854249492381
AntimonyDis_ugL,2
ArsenicDis_ugL,0.4
BariumDis_ugL,0.5
Bromide_ugL,9
CadmiumDis_ugL,0.4
CalciumDis_mgL,0.01
CeriumDis_ugL,0.4
Chloride_mgL,0.3
ChromiumDis_ugL,0.4
CobaltDis_ugL,0.4
CopperDis_ugL,0.7
Fluoride_ugL,9
IronDis_ugL,7
LeadDis_ugL,0.4
LithiumDis_ugL,0.4
MagnesiumDis_mgL,0.01
ManganeseDis_ugL,0.8
NickelDis_ugL,0.4
Nitrate_ugL,10
Nitrite_ugL,9
Phosphate_ugL,10
PhosphorusDis_ugL,10
PotassiumDis_mgL,0.01
SeleniumDis_ugL,1
SilverDis_ugL,0.4
SodiumDis_mgL,0.01
Sulfate_mgL,0.3
TitaniumDis_ugL,0.5
UraniumDis_ugL,0.4
VanadiumDis_ugL,0.4
ZincDis_ugL,0.6
